date,hour,address,district,beat,grid,description,ucr_ncic_code,code_description,latitude,longitude
1/4/06,0:06,PERRY AVE / STOCKTON BLVD,6,6B        ,1064,TOWED/STORED VEHICLE,7000,Code not found,38.53139129,-121.4455607
1/4/06,0:07,ROANOKE AVE / BRANCH ST,2,2A        ,513,MISCELLANEOUS I RPT (ZMISC),7000,Code not found,38.63484756,-121.4438493
1/4/06,0:20,2239 CASTRO WAY,4,4A        ,917,BOMBS/THREATS/EXPLOSIV- I RPT,7000,Code not found,38.55490411,-121.48523300000001
1/4/06,0:29,BELL AVE / PINELL ST,2,2A        ,226,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.64723814,-121.4199458
1/4/06,0:50,Q ST / 65TH ST,3,3C        ,856,5150 WI DANGER SELF/OTHERS,7000,Code not found,38.55280884,-121.4278994
1/4/06,0:55,J ST / 29TH ST,3,3B        ,738,TOWED/STORED VEHICLE,7000,Code not found,38.57348427,-121.4678719
1/4/06,1:00,7608 TIERRA GLEN WAY,6,6C        ,1445,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.49980195,-121.4149165
1/4/06,1:00,3218 DOROTEO WAY,1,1B        ,410,594(B)(1)PC  VANDALISM +$400,2999,Damage Property-Remarks,38.62535356,-121.51049440000001
1/4/06,1:20,3725 HAYWOOD ST,2,2A        ,514,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.63577799,-121.4409047
1/4/06,1:30,1000 FLORIN RD,4,4C        ,1287,422 PC THREAT/INTENT TO TERROR,1602,Threat-Terrorist/State Offenses,38.49324791,-121.52195859999999
1/4/06,1:59,2101 L ST,3,3B        ,747,594(B)(1)PC  VANDALISM +$400,2999,Damage Property-Remarks,38.57428281,-121.47922720000001
1/4/06,2:04,X ST / STOCKTON BLVD,6,6B        ,1005,23152(A) VC DUI-ALCOHOL/DRUGS,5404,Driving Under Influence-Liquor,38.55347187,-121.45664920000002
1/4/06,2:44,S LAND PARK DR / 58TH AVE,4,4C        ,1279,JUVENILE PROBLEMS - I RPT,7000,Code not found,38.49814667,-121.5101504
1/4/06,2:50,2204 16TH ST,3,3A        ,785,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.5646481,-121.4911364
1/4/06,3:00,1255 UNIVERSITY AVE,3,3C        ,876,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.56162032,-121.41520700000001
1/4/06,3:41,3007 J ST,3,3C        ,831,243(E)1 BATTERY NONCOHAB SPOUS,1315,Aggravated Assault-Weapon,38.57301361,-121.46584320000001
1/4/06,3:44,AMHERST ST / MEADOWVIEW RD,5,5A        ,1391,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.48131474,-121.5013123
1/4/06,4:00,748 LAMPASAS AVE,2,2B        ,563,417(A)1) PC BRANDISH NON-GUN,5212,Possession of Weapon-Remarks,38.61448373,-121.4496149
1/4/06,4:00,400 ALHAMBRA BLVD,3,3C        ,811,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.57924878,-121.46269009999999
1/4/06,4:30,401 I ST,3,3M        ,712,211 PC  ROBBERY UNSPECIFIED,1299,Robbery-Remarks,38.58370044,-121.5008344
1/4/06,5:00,3010 FLORIN RD,5,5A        ,1365,VANDALISM - I RPT,7000,Code not found,38.4957722,-121.472256
1/4/06,5:00,1901 EXPEDITION WAY,5,5A        ,1512,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.47392033,-121.49508
1/4/06,5:32,1401 ALHAMBRA BLVD,3,3C        ,851,215(A) PC    CARJACKING,1212,Carjacking-Armed,38.5680901,-121.46702720000002
1/4/06,6:00,MAIN AVE / RALEY BLVD,2,2A        ,216,10851(A)VC TAKE VEH W/O OWNER,2404,Vehicle Theft,38.65460722,-121.4291378
1/4/06,6:25,COSUMNES RIVER BLVD / BRUCEVILLE RD,5,5C        ,1639,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.45768744,-121.41766750000001
1/4/06,6:30,4410 POWER INN RD,6,6C        ,1133,417(A)1) PC BRANDISH NON-GUN,5212,Possession of Weapon-Remarks,38.53499467,-121.41016359999999
1/4/06,6:50,18TH ST / O ST P ST ALY,3,3B        ,766,211 PC ROBBERY-PURSE SNATCH,1210,Forcible Purse Snatching,38.57131092,-121.4851916
1/4/06,7:01,FRANKLIN BLVD / CALVINE RD,5,          ,1644,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.44879933,-121.44454990000001
1/4/06,7:10,3217 RIO LINDA BLVD,2,2B        ,523,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.62659902,-121.4467735
1/4/06,7:10,29TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52659231,-121.4721784
1/4/06,7:14,5385 FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52627076,-121.47151670000001
1/4/06,7:20,4901 58TH ST,6,6B        ,1087,MISSING PERSON,7000,Code not found,38.53103324,-121.43850549999999
1/4/06,7:22,2836 WAH AVE,4,4B        ,1356,CASUALTY REPORT,7000,Code not found,38.50102291,-121.474167
1/4/06,7:25,645 FORD RD,2,2B        ,522,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.62935749,-121.4511384
1/4/06,7:30,3381 LA CADENA WAY,1,1A        ,102,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.6813822,-121.53673
1/4/06,7:30,2163 56TH AVE,4,4B        ,1353,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.50031738,-121.48704520000001
1/4/06,7:30,18 ALDERBERRY CT,1,1A        ,113,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.66763857,-121.52111770000002
1/4/06,7:32,NORTHGATE BLVD / PATIO AVE,1,1C        ,409,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.63338067,-121.47552569999999
1/4/06,7:37,FRANKLIN BLVD / 26TH AVE,4,4B        ,969,TOWED/STORED VEHICLE,7000,Code not found,38.52904451,-121.47279650000002
1/4/06,7:45,INDIAN LN / WAH AVE,4,4B        ,1346,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.501271100000004,-121.47379479999998
1/4/06,7:58,FRANKLIN BLVD / 24TH AVE,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.53092764,-121.473272
1/4/06,7:58,3945 FRANKLIN BLVD,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,Code not found,38.53855659,-121.47463870000001
1/4/06,8:00,3736 CLAY ST,2,2A        ,514,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.6361631,-121.4393403
1/4/06,8:00,807 LAKE FRONT DR,4,4C        ,1294,484G(B) PC ACCESS CARD FRAUD,2605,Fraud-Illegal Use Credit Cards,38.47856755,-121.53052439999999
1/4/06,8:00,1796 TRIBUTE RD,2,2C        ,625,487(A) PC GRAND THEFT,2303,Shoplifting,38.59873136,-121.4458175
1/4/06,8:00,3611 TRUXEL RD,1,1A        ,337,484 PC  PETTY THEFT/ OUTSIDE,2309,Larceny-From Yards,38.63276571,-121.5061726
1/4/06,8:00,1820 FRIENZA AVE,2,2C        ,568,459 PC  BURGLARY BUSINESS,2203,Burglary-Forced Entry-Nonresidence,38.61199425,-121.4244182
1/4/06,8:10,5100 61ST ST,6,6B        ,1087,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.52864267,-121.43479440000002
1/4/06,8:15,2700 DEL PASO RD,1,1A        ,305,487(A) GRAND THEFT-CLOUT-UNLOC,2305,Larceny-From Auto,38.65543537,-121.5223763
1/4/06,8:19,NORTHGATE BLVD / BOWMAN AVE,1,1C        ,429,TOWED/STORED VEH-14602.6,7000,Code not found,38.61759982,-121.4755368
1/4/06,8:45,3909 14TH AVE,6,6A        ,1042,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.53966389,-121.46341809999998
1/4/06,8:45,TOLKIEN AVE / W STOCKTON BLVD,5,5C        ,1654,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.44471524,-121.4052034
1/4/06,8:48,FRANKLIN BLVD / 32ND AVE,4,4B        ,988,TOWED/STORED VEH-14602.6,7000,Code not found,38.52367283,-121.47145900000001
1/4/06,8:56,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEHICLE,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,9:00,12TH AVE / 33RD ST,6,6A        ,1041,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.54121247,-121.47114380000001
1/4/06,9:00,8692 MELVILLE DR,5,5C        ,1654,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.44254818,-121.407243
1/4/06,9:00,3161 L ST,3,3C        ,841,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.57094664,-121.4642182
1/4/06,9:12,8240 14TH AVE,6,6C        ,1134,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.53913744,-121.40196920000001
1/4/06,9:21,27TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52799984,-121.47253159999998
1/4/06,9:25,26TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52904451,-121.47279650000002
1/4/06,9:37,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,9:45,1587 W EL CAMINO AVE,1,1B        ,435,484 PETTY THEFT-SHOPLIFT,2303,Shoplifting,38.61346222,-121.4960693
1/4/06,10:00,500 EMMONS ST,2,2A        ,236,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.64448295,-121.4269185
1/4/06,10:00,1425 PEBBLEWOOD DR,1,1C        ,414,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.62284309,-121.4937243
1/4/06,10:10,8276 CENTER PKWY,5,5B        ,1633,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.4599079,-121.43236609999998
1/4/06,10:25,FRANKLIN BLVD / 26TH AVE,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52904451,-121.47279650000002
1/4/06,10:30,4086 DEER CROSS WAY,5,5B        ,1616,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.46866082,-121.4590371
1/4/06,10:37,5180 VILLAGE STAR DR,5,5C        ,1644,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.45354132,-121.44221529999999
1/4/06,10:44,9TH ST / O ST,3,3A        ,764,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.57512017,-121.49720759999998
1/4/06,10:50,5385 FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52627076,-121.47151670000001
1/4/06,11:00,5518 SEYFERTH WAY,5,5C        ,1605,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.47587189,-121.4366615
1/4/06,11:11,1924 SILICA AVE,2,2C        ,606,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.60846273,-121.42216499999999
1/4/06,11:17,5303 FRANKLIN BLVD,4,4B        ,969,5150 WI DANGER SELF/OTHERS,7000,Code not found,38.52718667,-121.47124769999999
1/4/06,11:20,4221 NORWOOD AVE,2,2A        ,232,211 PC ROBBERY- BUSINESS,1299,Robbery-Remarks,38.64444404,-121.45762930000001
1/4/06,11:25,FRANKLIN BLVD / 10TH AVE,4,4A        ,937,TOWED/STORED VEH-14602.6,7000,Code not found,38.54318603,-121.4758004
1/4/06,11:30,NEW MARKET DR / NATOMAS BLVD,1,1A        ,145,TOWED/STORED VEH-14602.6,7000,Code not found,38.65862177,-121.51209750000001
1/4/06,11:38,3617 37TH ST,6,6A        ,1041,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.54156627,-121.46686170000001
1/4/06,11:40,9TH ST / O ST,3,3A        ,764,5150 WI DANGER SELF/OTHERS,7000,Code not found,38.57512017,-121.49720759999998
1/4/06,11:41,1936 SILICA AVE,2,2C        ,606,TOWED/STORED VEHICLE,7000,Code not found,38.60846198,-121.4220145
1/4/06,11:44,7810 STOCKTON BLVD,5,5C        ,1624,211 PC ROBBERY- BUSINESS,1299,Robbery-Remarks,38.47403927,-121.4192423
1/4/06,11:45,OCCIDENTAL DR / JULLIARD DR,3,3C        ,1116,TOWED/STORED VEHICLE,7000,Code not found,38.54865343,-121.3932422
1/4/06,12:00,4044 SEA DRIFT WAY,5,5B        ,1618,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.46528543,-121.4589055
1/4/06,12:00,4050 FAWN CIR,5,5B        ,1616,653M(B) PC ANNOY/RPT CALL HOME,5307,Assembly-Unlawful,38.47054773,-121.45972140000002
1/4/06,12:00,101 KENNELFORD CIR,5,5C        ,1635,484J PC PUBLISH CARD INFO,2605,Fraud-Illegal Use Credit Cards,38.46386486,-121.4284754
1/4/06,12:00,2715 O ST,3,3B        ,768,HARASSMENT - I RPT,7000,Code not found,38.56881137,-121.4722229
1/4/06,12:03,DEL PASO BLVD / LAMPASAS AVE,2,2B        ,564,23103(A) RECKLESS ON HIGHWAY,5499,Traffic Offense-Remarks,38.61383575,-121.44502460000001
1/4/06,12:10,6150 SKY CREEK DR,6,6C        ,1427,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.51582822,-121.38543349999999
1/4/06,12:13,SOUTH AVE / MARYSVILLE BLVD,2,2B        ,516,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.63292418,-121.43059620000001
1/4/06,12:15,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,Code not found,38.63862878,-121.3815598
1/4/06,12:15,5383 FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52627076,-121.47151670000001
1/4/06,12:22,34TH AVE / FRANKLIN BLVD,4,4B        ,988,TOWED/STORED VEH-14602.6,7000,Code not found,38.52164684,-121.4709707
1/4/06,12:30,GRAND AVE / BALSAM ST,2,2A        ,505,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.6364856,-121.4305818
1/4/06,12:30,3640 CATTLE DR,1,1B        ,403,TOWED/STORED VEHICLE,7000,Code not found,38.63410671,-121.49179579999999
1/4/06,12:33,3115 FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52517524,-121.47274469999999
1/4/06,12:44,FRUITRIDGE RD / 53RD ST,6,6B        ,1084,11352(A)HS SALE/TRANS CNTL SUB,3532,Cocaine-Possession,38.52496323,-121.44388740000001
1/4/06,12:45,1415 D ST,3,3A        ,715,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.58553089,-121.48429479999999
1/4/06,12:46,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,12:47,29TH ST / S ST,3,3B        ,778,NON INJ HR/MAIL OUT REPORT,7000,Code not found,38.56356918,-121.4721812
1/4/06,12:53,144 EL CAMINO AVE,2,2C        ,601,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.61084789,-121.4630259
1/4/06,12:57,14TH AVE / FRANKLIN BLVD,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,Code not found,38.5393973,-121.4753422
1/4/06,13:00,2761 29TH AVE,4,4B        ,969,MISSING PERSON,7000,Code not found,38.52700121,-121.47817739999999
1/4/06,13:00,643 K ST,3,3M        ,742,666 PC PETTY THEFT W/PRI CONV,2399,Larceny-Remarks,38.58067298,-121.4992289
1/4/06,13:00,5949 MACK RD,5,5C        ,1606,MISSING PERSON,7000,Code not found,38.47603764,-121.432933
1/4/06,13:00,7925 KENTWAL DR,5,5B        ,1621,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,Aggravated Assault-Weapon,38.46816183,-121.4401696
1/4/06,13:00,19TH ST / P ST,3,3B        ,766,TOWED/STORED VEHICLE,7000,Code not found,38.5704109,-121.4841033
1/4/06,13:10,FRANKLIN BLVD / 24TH AVE,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.53092764,-121.473272
1/4/06,13:45,3737 JASMINE ST,2,2A        ,516,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.63589932,-121.426956
1/4/06,13:46,3450 TAYLOR ST,2,2B        ,522,666 PC PETTY THEFT W/PRI CONV,2399,Larceny-Remarks,38.62966165,-121.4521652
1/4/06,13:51,FREEPORT BLVD / BLAIR AVE,4,4B        ,1302,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.51314436,-121.50101310000001
1/4/06,13:51,CLUB CENTER DR / DUNLAY DR,1,1A        ,104,TOWED/STORED VEH-14602.6,7000,Code not found,38.67124986,-121.5152685
1/4/06,13:57,6205 RIVERSIDE BLVD,4,4C        ,1265,3056 PC PAROLE VIOLATION,5011,Parole Violation-Remarks,38.51385568,-121.52920890000001
1/4/06,14:00,2315 34TH ST,6,6B        ,1002,243(D) PC BATT/CIVILIAN W/INJ,1315,Aggravated Assault-Weapon,38.55630084,-121.4662305
1/4/06,14:00,131 ARCADE BLVD,2,2B        ,541,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.620284000000005,-121.465034
1/4/06,14:00,962 JOHNFER WAY,4,4C        ,1253,459 PC  BURGLARY VEHICLE,2299,Burglary-Remarks,38.51363418,-121.5233983
1/4/06,14:00,1716 WAKEFIELD WAY,5,5A        ,1361,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.49463972,-121.49852890000001
1/4/06,14:01,5TH AVE / FRANKLIN BLVD,4,4A        ,928,TOWED/STORED VEHICLE,7000,Code not found,38.54904321,-121.4758203
1/4/06,14:05,651 I ST,3,3M        ,732,TOWED/STORED VEHICLE,7000,Code not found,38.58314743,-121.49740990000002
1/4/06,14:06,33RD ST / BROADWAY,6,6A        ,1012,TOWED/STORED VEH-14602.6,7000,Code not found,38.55385441,-121.4704591
1/4/06,14:11,DEL PASO BLVD / OXFORD ST,2,2C        ,602,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.60790178,-121.45544
1/4/06,14:16,1116 23RD ST,3,3B        ,747,602(N)TRESP DRIVE ON PRIVATE P,5707,Trespassing-Remarks,38.57396483,-121.4769139
1/4/06,14:17,7948 REINDEER WAY,5,5B        ,1616,530.5 PC USE PERSONAL ID INFO,2604,Fraud-Imperson,38.46870571,-121.46041640000001
1/4/06,14:18,26TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52904451,-121.47279650000002
1/4/06,14:21,3550 MARYSVILLE BLVD,2,2B        ,526,O/S AGENCY -ASSISTANCE- I RPT,7000,Code not found,38.63228581,-121.4303283
1/4/06,14:21,5330 ONTARIO ST,6,6C        ,1153,FAMILY DISTURBANCE - I RPT,7000,Code not found,38.52731583,-121.4137192
1/4/06,14:24,2220 CATHERWOOD WAY,1,1A        ,104,240 PC ASSAULT/SIMPLE-CIVILIAN,1313,Simple Assault,38.67689767,-121.5118637
1/4/06,14:28,7716 MILLROY WAY,5,5C        ,1605,CASUALTY REPORT,7000,Code not found,38.4769852,-121.4374736
1/4/06,14:30,6129 LEMON BELL WAY,6,6C        ,1422,459 PC  BURGLARY RESIDENCE,2204,Burglary-No Forced Entry-Residence,38.51503396,-121.418769
1/4/06,14:30,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,Code not found,38.63862878,-121.3815598
1/4/06,14:40,2246 BABETTE WAY,5,5A        ,1503,242 PC  BATTERY CIVILIAN,1313,Simple Assault,38.47914754,-121.4861143
1/4/06,14:45,1590 W EL CAMINO AVE,1,1B        ,444,LOST PROPERTY - I RPT,7000,Code not found,38.61236933,-121.49732990000001
1/4/06,14:56,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEHICLE,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,15:01,6001 11TH AVE,6,6B        ,1047,2800.2(A) VC EVADING/RECKLESS,5499,Traffic Offense-Remarks,38.54231415,-121.43467209999999
1/4/06,15:04,STOCKTON BLVD / 8TH AVE,6,6A        ,1035,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.54469916,-121.45269499999999
1/4/06,15:04,8TH AVE / STOCKTON BLVD,6,6B        ,1035,TRAFFIC-ACCIDENT INJURY,5400,Code not found,38.54452845,-121.45259850000001
1/4/06,15:08,MOREY AVE / WESTERN AVE,2,2B        ,501,10851 VC AUTO THEFT LOCATE,2404,Vehicle Theft,38.63482465,-121.47001159999999
1/4/06,15:25,3100 BROADWAY,6,6A        ,1011,TOWED/STORED VEH-14602.6,7000,Code not found,38.55555724,-121.47233840000001
1/4/06,15:26,9TH ST / E ST,3,3A        ,714,496(A) RECEIVE STOLEN PROPERTY,2803,Receive Stolen Property,38.58614084,-121.49245239999999
1/4/06,15:31,FLORIN RD / MUNSON WAY,5,5B        ,1359,TOWED/STORED VEH-14602.6,7000,Code not found,38.49603233,-121.4619674
1/4/06,15:45,2324 22ND AVE,4,4B        ,968,TOWED/STORED VEHICLE,7000,Code not found,38.53293942,-121.48525159999998
1/4/06,15:48,7417 TROON WAY,5,5A        ,1385,MISCELLANEOUS I RPT (ZMISC),7000,Code not found,38.48940865,-121.48293100000001
1/4/06,15:50,24TH ST / YREKA AVE,4,4B        ,1356,11364 HS POSS DRUG PARAPH,3599,Dangerous Drugs-Remarks,38.49850245,-121.4827604
1/4/06,15:52,GRAND AVE / NORWOOD AVE,2,2A        ,502,TRAFFIC-ACCIDENT-NON INJURY,5400,Code not found,38.63679611,-121.45693829999999
1/4/06,15:56,801 K ST,3,3M        ,742,647(F) PC PUB INTOX-DETOX ONLY,5311,Disorderly Conduct-Remarks,38.58010158,-121.49600759999998
1/4/06,16:00,4639 MACK RD,5,5B        ,1603,647(F) PC PUB INTOX-DETOX ONLY,5311,Disorderly Conduct-Remarks,38.47435531,-121.448452
1/4/06,16:00,1309 SILICA AVE,2,2C        ,605,BATTERY - I RPT,7000,Code not found,38.60888339,-121.4367656
1/4/06,16:00,32ND AVE / FRANKLIN BLVD,4,4B        ,988,TOWED/STORED VEH-14602.6,7000,Code not found,38.52367283,-121.47145900000001
1/4/06,16:00,2001 J ST,3,3B        ,736,484 PC   PETTY THEFT/INSIDE,2308,Larceny-From Building,38.57682697,-121.47954440000001
1/4/06,16:03,2820 O ST,3,3B        ,768,THREATS - I RPT,7000,Code not found,38.56776187,-121.47089799999999
1/4/06,16:12,7601 52ND AVE,6,6C        ,1445,422 PC THREAT/INTENT TO TERROR,1602,Threat-Terrorist/State Offenses,38.50492491,-121.41472079999998
1/4/06,16:12,BROADWAY / 33RD ST,6,6A        ,1012,TOWED/STORED VEHICLE,7000,Code not found,38.55385441,-121.4704591
1/4/06,16:15,FRANKLIN BLVD / COSUMNES RIVER BLVD,5,5B        ,1634,TOWED/STORED VEH-14602.6,7000,Code not found,38.46223959,-121.4466002
1/4/06,16:20,23RD ST / 2ND AVE,4,4A        ,907,TOWED/STORED VEH-14602.6,7000,Code not found,38.55559631,-121.48466499999999
1/4/06,16:21,4108 FRANKLIN BLVD,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,Code not found,38.53710124,-121.4752437
1/4/06,16:25,3950 TRUXEL RD,1,1A        ,327,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,Aggravated Assault-Weapon,38.6412195,-121.50788909999999
1/4/06,16:30,1025 ALHAMBRA BLVD,3,3C        ,841,666 PC PETTY THEFT W/PRI CONV,2399,Larceny-Remarks,38.57188611,-121.46488970000001
1/4/06,16:30,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,Shoplifting,38.58062786,-121.5014996
1/4/06,16:30,K ST / 3RD ST,3,3M        ,742,11357(B)HS POSS -28.5GR MARIJ,3562,Marijuana-Possession,38.58165678,-121.5032275
1/4/06,16:40,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,16:44,T ST / 27TH ST,3,3B        ,778,TOWED/STORED VEHICLE,7000,Code not found,38.56318807,-121.4753282
1/4/06,16:50,3555 AUBURN BLVD,2,2A        ,509,MISSING PERSON,7000,Code not found,38.63862878,-121.3815598
1/4/06,16:50,K ST / 8TH ST,3,3M        ,742,GANG ACTIVITY - I RPT,7000,Code not found,38.57991197,-121.4966071
1/4/06,16:52,3813 ALDER ST,2,2A        ,505,594(B)(2)(A) VANDALISM/ -$400,2999,Damage Property-Remarks,38.63712953,-121.4376102
1/4/06,16:54,1511 DEL PASO BLVD,2,2C        ,602,476 PC PASS FICTICIOUS CHECK,2501,Forgery of Checks,38.60683427,-121.45851029999999
1/4/06,17:00,1025 ALHAMBRA BLVD,3,3C        ,841,484 PETTY THEFT-SHOPLIFT,2303,Shoplifting,38.57188611,-121.46488970000001
1/4/06,17:00,2206 SANDCASTLE WAY,1,1B        ,444,NARCOTICS SUSP/EVID/ACT- I RPT,7000,Code not found,38.61157282,-121.49162390000001
1/4/06,17:00,118 I ST,3,3M        ,731,487(A) PC GRAND THEFT,2303,Shoplifting,38.58426601,-121.504007
1/4/06,17:00,1320 TUMBLEWEED WAY,1,1B        ,403,12025(A)2)CNCLD GUN ON PER/FEL,5202,Carry Concealed Weapon-Remarks,38.62806276,-121.49113529999998
1/4/06,17:00,69TH ST / LEMON HILL AVE,6,6C        ,1403,TOWED/STORED VEHICLE,7000,Code not found,38.51602543,-121.4237449
1/4/06,17:00,1025 ALHAMBRA BLVD,3,3C        ,841,484 PC PETTY THEFT,2399,Larceny-Remarks,38.57188611,-121.46488970000001
1/4/06,17:02,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,17:05,3409 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,Code not found,38.54359005,-121.46152849999999
1/4/06,17:05,FRANKLIN BLVD / 18TH AVE,4,4B        ,958,TOWED/STORED VEH-14602.6,7000,Code not found,38.53627722,-121.4745855
1/4/06,17:15,7515 32ND ST,5,5A        ,1398,TOWED/STORED VEHICLE,7000,Code not found,38.48632776,-121.4714034
1/4/06,17:18,FRANKLIN BLVD / FRUITRIDGE RD,4,4B        ,969,TOWED/STORED VEHICLE,7000,Code not found,38.52488785,-121.47174709999999
1/4/06,17:19,3400 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,Code not found,38.54370562,-121.462171
1/4/06,17:30,3409 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,Code not found,38.54359005,-121.46152849999999
1/4/06,17:34,27TH AVE / FRANKLIN BLVD,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,Code not found,38.52799984,-121.47253159999998
1/4/06,17:40,3291 TRUXEL RD,1,1B        ,412,12022.1 PC COMMIT FEL ON BAIL,5212,Possession of Weapon-Remarks,38.6270814,-121.4984478
1/4/06,17:45,3409 SAN CARLOS WAY,6,6A        ,1042,TOWED/STORED VEHICLE,7000,Code not found,38.54359005,-121.46152849999999
1/4/06,17:48,2821 RIVER PLAZA DR,1,1B        ,478,242 PC  BATTERY CIVILIAN,1313,Simple Assault,38.60889406,-121.52826999999999
